# wl flux eflux
5.857107451283791306e+02 3.238468087138937634e-01 6.415115712370153545e-02
5.857133540609764850e+02 3.380943125451047471e-01 6.699795712960472660e-02
5.857159626866276767e+02 2.952457585580182675e-01 7.998987946411342809e-02
5.857185710054599213e+02 2.103744678475821528e-01 6.328477041748395426e-02
5.857211790175998658e+02 3.551733543220499389e-01 8.063319281235592495e-02
5.857237867231747259e+02 3.923730761943134970e-01 6.766254145243683071e-02
5.857263941223112624e+02 3.647927871927215682e-01 6.826920601265475119e-02
5.857290012151369183e+02 4.263874715424559314e-01 6.907503654322602604e-02
5.857316080017779996e+02 3.941246770149040568e-01 6.919855877299066482e-02
5.857342144823620629e+02 3.601213721246964150e-01 6.656023969122167039e-02
5.857368206570157554e+02 3.227543623414649843e-01 6.422033365989110454e-02
5.857394265258662926e+02 3.165316521097055746e-01 6.778114056419530520e-02
5.857420320890406629e+02 2.451682800423517217e-01 6.712702382492682918e-02
5.857446373466653995e+02 3.125129536710143929e-01 6.518762865896995939e-02
5.857472422988679455e+02 3.360020058241380836e-01 8.015776639737255682e-02
5.857498469457754027e+02 3.686096760871688804e-01 6.834684672534335759e-02
5.857524512875145319e+02 3.645292665220249417e-01 6.855131582801285428e-02
5.857550553242119804e+02 2.310082958498058947e-01 6.449992043762042826e-02
5.857576590559954184e+02 4.341361948237882351e-01 8.048552739348820151e-02
5.857602624829912656e+02 4.459204644192590883e-01 6.888553743886534353e-02
5.857628656053267378e+02 3.945833033006998503e-01 6.954669590125689416e-02
5.857654684231290503e+02 4.365149253534892915e-01 7.030273104616900637e-02
5.857680709365245093e+02 3.293061606918542550e-01 6.836173107421832096e-02
5.857706731456408988e+02 3.970826964587078067e-01 8.276229575335616873e-02
5.857732750506046386e+02 3.439947574842700528e-01 6.733524164278466284e-02
5.857758766515430580e+02 3.096787072761534865e-01 6.837782639677611463e-02
5.857784779485828039e+02 3.666166072509232099e-01 6.668990867534593803e-02
5.857810789418510922e+02 3.661879864635705362e-01 6.559289489102317072e-02
5.857836796314750245e+02 3.127538770531764212e-01 6.704766993267803621e-02
5.857862800175812481e+02 2.581141279874847316e-01 6.374808349332530821e-02
5.857888801002969785e+02 3.400111754492262661e-01 6.492870729415953224e-02
5.857914798797492040e+02 3.928435154069163660e-01 6.370606115941061798e-02
5.857940793560649126e+02 3.640886500385040470e-01 6.700712194049723847e-02
5.857966785293709790e+02 3.689490072009758426e-01 6.855444287894342514e-02
5.857992773997942777e+02 4.928813190576134540e-01 7.093134010360403752e-02
5.858018759674621379e+02 4.634666390222957344e-01 7.110956136965679297e-02
